participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.why_accept,player.other_accept,player.why_reject,player.other_reject,player.age,player.gender,player.major,player.political,player.gpa,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,qhgouqh9,,0,2,1,exitq,Survey,2022-09-21 23:08:29.907526+00:00,1,,,0,1,, To increase my own earnings,, To increase my own earnings,,22,Man,Social sciences,Center,3.2,0,1,1,j49ygjfg,,,,,0
"2,s2potagh,,0,2,1,exitq,Survey,2022-09-21 23:08:39.478822+00:00,1,,,0,2,, To increase my own earnings,, To increase my own earnings,,19,Man,""Science, technology, engineering and mathematics"",Left,3.6,0,1,1,j49ygjfg,,,,,0"
"3,5u50kh5e,,0,2,1,exitq,Survey,2022-09-21 23:09:04.328043+00:00,1,,,0,3,, To increase my own earnings,, To increase my own earnings,,22,Woman,""Business, Finance"",Left,3.6,0,1,1,j49ygjfg,,,,,0"
"4,7bmeqmag,,0,2,1,exitq,Survey,2022-09-21 23:08:34.648614+00:00,1,,,0,4,,To ensure fair payoffs,, To increase my own earnings,,24,Woman,""Science, technology, engineering and mathematics"",Left,3.7,0,1,1,j49ygjfg,,,,,0"
"5,u67w54t8,,0,2,1,exitq,Survey,2022-09-21 23:09:07.028075+00:00,1,,,0,5,,To help other participants ,,To help other participants ,,23,Woman,""Science, technology, engineering and mathematics"",Center,3.9,0,1,1,j49ygjfg,,,,,0"
"6,5wo06wvn,,0,2,1,exitq,Survey,2022-09-21 23:08:25.618777+00:00,1,,,0,6,, To increase my own earnings,, To increase my own earnings,,22,Woman,""Science, technology, engineering and mathematics"",Left,3.9,0,1,1,j49ygjfg,,,,,0"
"7,6zb2btvm,,0,2,1,exitq,Survey,2022-09-21 23:08:30.143772+00:00,1,,,0,7,,Other reason (specify bellow),""i wanted to test out how outliers in the voting system would affect how rounds later on will be played out with the other participants, and exploit that information to increase my end earnings."",To ensure fair payoffs,,18,Man,""Science, technology, engineering and mathematics"",Right,4.0,0,1,1,j49ygjfg,,,,,0"
"8,ojiy0llk,,0,2,1,exitq,Survey,2022-09-21 23:08:31.730235+00:00,1,,,0,8,, To increase my own earnings,, To increase my own earnings,,18,Man,""Science, technology, engineering and mathematics"",Center,4.0,0,1,1,j49ygjfg,,,,,0"
"9,t3akcoze,,0,2,1,exitq,Survey,2022-09-21 23:08:25.999147+00:00,1,,,0,9,, To increase my own earnings,, To increase my own earnings,,22,Man,""Science, technology, engineering and mathematics"",Left,3.6,0,1,1,j49ygjfg,,,,,0"
10,cdjr73vc,,0,2,1,exitq,Survey,2022-09-21 23:08:27.177916+00:00,1,,,0,10,, To increase my own earnings,, To increase my own earnings,,21,Woman,Art and humanities,Left,3.9,0,1,1,j49ygjfg,,,,,0
"11,dqx11knh,,0,2,1,exitq,Survey,2022-09-21 23:08:33.701828+00:00,1,,,0,11,, To increase my own earnings,, To increase my own earnings,,20,Woman,""Science, technology, engineering and mathematics"",Center,3.1,0,1,1,j49ygjfg,,,,,0"
